filepath,tags
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230408-NIrelandGiants_ROW0628526984_UHD.jpg,".thumbs,20230408,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,nirelandgiants,row0628526984,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230409-MilkyWayTwoJackLake_ROW0791032627_UHD.jpg,".thumbs,20230409,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,milkywaytwojacklake,row0791032627,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230410-ElephantTwins_ROW1132340336_UHD.jpg,".thumbs,20230410,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,elephanttwins,row1132340336,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230411-MossyGrottoFalls_ROW6376711227_UHD.jpg,".thumbs,20230411,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,mossygrottofalls,row6376711227,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230412-EuropeFromISS_ROW1363787892_UHD.jpg,".thumbs,20230412,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,europefromiss,row1363787892,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230413-SnowdoniaNational_ROW1485284324_UHD.jpg,".thumbs,20230413,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row1485284324,snowdonianational,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230414-RedSeaStars_ROW7002802337_UHD.jpg,".thumbs,20230414,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,redseastars,row7002802337,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230415-NahargarhFort_ROW1740335378_UHD.jpg,".thumbs,20230415,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,nahargarhfort,row1740335378,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230416-KiteDay_ROW1884773634_UHD.jpg,".thumbs,20230416,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,kiteday,row1884773634,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230417-MinouLighthouse_ROW1985559141_UHD.jpg,".thumbs,20230417,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,minoulighthouse,row1985559141,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230418-MPPUnesco_ROW6815268249_UHD.jpg,".thumbs,20230418,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,mppunesco,row6815268249,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230419-TaiwanYuhina_ROW4532910071_UHD.jpg,".thumbs,20230419,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row4532910071,taiwanyuhina,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230420-AnjunaBeachGoa_ROW7649308994_UHD.jpg,".thumbs,20230420,anjunabeachgoa,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row7649308994,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230421-ProcidaItaly_ROW3953522775_UHD.jpg,".thumbs,20230421,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,procidaitaly,row3953522775,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/Download_Via_YT/PhysicsTCD - Quantum cryptography explained [8hB2-aivaaE - 863x485 - 3m25s].png," 3m25s], 863x485 , quantum cryptography explained [8hb2,aivaae ,download_via_yt,downloaded via net,downloaded via net/download_via_yt,physicstcd "
